# Timestamp,MMSI,Latitude,Longitude
2024-10-09 00:00:03,219002801,55.68802,12.622643

2024-10-09 00:00:12,219002801,55.688017,12.622642

2024-10-09 00:00:23,219002801,55.68802,12.622627

2024-10-09 00:00:33,219002801,55.688018,12.622618

2024-10-09 00:00:44,219002801,55.688022,12.622622

2024-10-09 00:00:52,219002801,55.68802,12.62263

2024-10-09 00:00:55,219025528,55.68864,12.624168

2024-10-09 00:01:03,219002801,55.688022,12.62263

2024-10-09 00:01:13,219002801,55.688017,12.622633

2024-10-09 00:01:23,219002801,55.688017,12.62263

2024-10-09 00:01:33,219002801,55.688022,12.622635

2024-10-09 00:01:44,219002801,55.68802,12.622623

2024-10-09 00:01:52,219002801,55.688022,12.622617

2024-10-09 00:02:03,219002801,55.688018,12.622623

2024-10-09 00:02:13,219002801,55.688028,12.622628
2024-10-09 00:02:13,219002801,55.688028,12.622628

2024-10-09 00:02:23,219002801,55.688032,12.622632

2024-10-09 00:02:33,219002801,55.68803,12.622625

2024-10-09 00:02:44,219002801,55.688028,12.622632

2024-10-09 00:02:52,219002801,55.688027,12.622628

2024-10-09 00:03:03,219002801,55.688023,12.622625

2024-10-09 00:03:13,219002801,55.68803,12.62262

2024-10-09 00:03:23,219002801,55.688038,12.62263

2024-10-09 00:03:33,219002801,55.688037,12.622622

2024-10-09 00:03:52,219002801,55.688018,12.622638

2024-10-09 00:04:00,219025528,55.688642,12.62416

2024-10-09 00:04:03,219002801,55.688025,12.622632

2024-10-09 00:04:13,219002801,55.688023,12.622642

2024-10-09 00:04:23,219002801,55.688018,12.622632

2024-10-09 00:04:33,219002801,55.688025,12.622632

2024-10-09 00:04:43,219002801,55.688033,12.622633

2024-10-09 00:04:52,219002801,55.688023,12.62262

2024-10-09 00:05:03,219002801,55.688018,12.622625

2024-10-09 00:05:07,219002801,55.688018,12.622625

2024-10-09 00:05:13,219002801,55.688018,12.62263

2024-10-09 00:05:23,219002801,55.688015,12.622618

2024-10-09 00:05:33,219002801,55.688007,12.622615

2024-10-09 00:05:40,219025528,55.688642,12.62416
2024-10-09 00:05:40,219025528,55.688642,12.62416

2024-10-09 00:05:43,219002801,55.68801,12.622627

2024-10-09 00:05:52,219002801,55.688012,12.622615

2024-10-09 00:06:02,219002801,55.688013,12.622627

2024-10-09 00:06:12,219002801,55.688008,12.622632

2024-10-09 00:06:23,219002801,55.688013,12.622633

2024-10-09 00:06:33,219002801,55.688015,12.622632

2024-10-09 00:06:43,219002801,55.68801,12.622635

2024-10-09 00:06:53,219002801,55.688017,12.62263

2024-10-09 00:06:56,219025528,55.688638,12.624152

2024-10-09 00:07:02,219002801,55.688028,12.622628
2024-10-09 00:07:02,219002801,55.688028,12.622628

2024-10-09 00:07:12,219002801,55.68803,12.622622
2024-10-09 00:07:12,219002801,55.68803,12.622622

2024-10-09 00:07:24,219002801,55.688025,12.622623

2024-10-09 00:07:33,219002801,55.688027,12.622623

2024-10-09 00:07:43,219002801,55.688018,12.62262

2024-10-09 00:07:53,219002801,55.688012,12.62261

2024-10-09 00:08:02,219002801,55.688013,12.622615

2024-10-09 00:08:12,219002801,55.688018,12.622628

2024-10-09 00:08:24,219002801,55.688022,12.622628

2024-10-09 00:08:33,219002801,55.688025,12.622628

2024-10-09 00:08:42,219002801,55.688023,12.622627

2024-10-09 00:08:53,219002801,55.68802,12.622623

2024-10-09 00:09:02,219002801,55.688023,12.622625

2024-10-09 00:09:12,219002801,55.688018,12.622623

2024-10-09 00:09:24,219002801,55.688023,12.622622

2024-10-09 00:09:33,219002801,55.688027,12.622628

