vessel_1,vessel_2,distance,start_time,end_time,duration_seconds,duration
219001214,219024336,0.1760324630022827,2024-10-09 11:33:48,2024-10-09 11:36:48,180.0,00:03:00
211211160,211302560,0.1762776778501079,2024-10-09 15:21:12,2024-10-09 15:25:12,240.0,00:04:00
235061904,235106475,0.1781980207392152,2024-10-09 13:04:00,2024-10-09 13:07:24,204.0,00:03:24
219159000,538007190,0.1798728227150922,2024-10-09 17:22:00,2024-10-09 17:25:12,192.0,00:03:12
219015579,219029233,0.1833954870498053,2024-10-09 10:15:00,2024-10-09 10:18:24,204.0,00:03:24
219000166,219000942,0.1875243407871412,2024-10-09 09:16:24,2024-10-09 09:22:24,360.0,00:06:00
219001647,220490000,0.1951860895433404,2024-10-09 12:27:24,2024-10-09 12:31:48,264.0,00:04:24
219004145,219016906,0.1980749815770743,2024-10-09 13:32:48,2024-10-09 13:36:24,216.0,00:03:36
244475000,246925000,0.199215995426405,2024-10-09 05:04:48,2024-10-09 05:07:48,180.0,00:03:00
209808000,235116836,0.2169081953810215,2024-10-09 03:23:48,2024-10-09 03:27:00,192.0,00:03:12
219000674,245108000,0.2224545720349243,2024-10-09 11:14:36,2024-10-09 11:18:24,228.0,00:03:48
219166000,244870072,0.2525297570861554,2024-10-09 03:35:48,2024-10-09 03:39:36,228.0,00:03:48
219019067,219029579,0.2527466814489021,2024-10-09 05:26:00,2024-10-09 05:29:12,192.0,00:03:12
219024176,265610040,0.2536886357239266,2024-10-09 19:44:48,2024-10-09 19:50:24,336.0,00:05:36
219002801,219020533,0.2586876129967188,2024-10-09 09:17:48,2024-10-09 09:23:12,324.0,00:05:24
219002801,219025528,0.2638367306029072,2024-10-09 09:17:48,2024-10-09 09:23:36,348.0,00:05:48
219000942,219031895,0.3027396324595872,2024-10-09 07:22:12,2024-10-09 07:26:24,252.0,00:04:12
219029233,245809000,0.3070384536353506,2024-10-09 06:33:36,2024-10-09 06:36:36,180.0,00:03:00
219001266,219017664,0.3313100624793652,2024-10-09 09:00:00,2024-10-09 09:03:00,180.0,00:03:00
220345000,244641000,0.3394603805398378,2024-10-09 06:26:48,2024-10-09 06:30:12,204.0,00:03:24
218779000,259143000,0.3409766803819746,2024-10-09 06:10:12,2024-10-09 06:16:12,360.0,00:06:00
241735000,304717000,0.3576303269187695,2024-10-09 13:54:48,2024-10-09 13:59:24,276.0,00:04:36
209255000,245808000,0.359246281533815,2024-10-09 04:33:48,2024-10-09 04:36:48,180.0,00:03:00
377103000,626419000,0.36951920797981,2024-10-09 07:41:00,2024-10-09 07:46:36,336.0,00:05:36
259143000,265504660,0.3749132368906051,2024-10-09 10:31:12,2024-10-09 10:34:24,192.0,00:03:12
244678000,255806355,0.379523461169258,2024-10-09 17:25:00,2024-10-09 17:29:24,264.0,00:04:24
219945000,246716000,0.3994284436869202,2024-10-09 15:06:12,2024-10-09 15:09:24,192.0,00:03:12
235003400,235008380,0.4041585825840001,2024-10-09 05:04:48,2024-10-09 05:08:00,192.0,00:03:12
219024336,219230000,0.4222720681575583,2024-10-09 14:16:12,2024-10-09 14:19:48,216.0,00:03:36
219024336,219230000,0.4389341247842487,2024-10-09 14:42:24,2024-10-09 14:45:48,204.0,00:03:24
219004473,219006113,0.4485333068620189,2024-10-09 00:11:48,2024-10-09 00:21:48,600.0,00:10:00
244678000,304717000,0.4520004684006541,2024-10-09 16:43:48,2024-10-09 16:48:12,264.0,00:04:24
231843000,246456000,0.454505790102393,2024-10-09 16:11:12,2024-10-09 16:14:36,204.0,00:03:24
219000166,219018682,0.4553363889080767,2024-10-09 10:06:48,2024-10-09 10:09:48,180.0,00:03:00
219000674,244207000,0.4621846415976435,2024-10-09 11:00:36,2024-10-09 11:03:36,180.0,00:03:00
219002801,219018684,0.4638896276392019,2024-10-09 04:41:48,2024-10-09 04:44:48,180.0,00:03:00
220614000,244678000,0.465498590033099,2024-10-09 10:30:48,2024-10-09 10:36:00,312.0,00:05:12
244820055,256717000,0.4696622204453731,2024-10-09 07:17:24,2024-10-09 07:20:36,192.0,00:03:12
219024176,355931000,0.4725080252952484,2024-10-09 17:05:12,2024-10-09 17:12:12,420.0,00:07:00
211142620,219025528,0.4821514792448342,2024-10-09 14:23:48,2024-10-09 14:27:48,240.0,00:04:00
211302890,373789000,0.4826343716537567,2024-10-09 22:58:36,2024-10-09 23:02:36,240.0,00:04:00
211211160,211588580,0.4832061433695017,2024-10-09 14:45:24,2024-10-09 14:48:24,180.0,00:03:00
244468000,246812000,0.4911747687921182,2024-10-09 05:53:00,2024-10-09 05:57:00,240.0,00:04:00
219001619,219025528,0.4912248335283216,2024-10-09 04:53:00,2024-10-09 04:57:24,264.0,00:04:24
211364330,211413470,0.4944858569275088,2024-10-09 07:18:48,2024-10-09 07:21:48,180.0,00:03:00
218801000,255809000,0.4949759212036621,2024-10-09 04:59:12,2024-10-09 05:02:36,204.0,00:03:24
219001266,219018682,0.4977952868532282,2024-10-09 08:44:12,2024-10-09 08:48:48,276.0,00:04:36
219021321,245170000,0.5006731530482765,2024-10-09 10:49:12,2024-10-09 10:52:36,204.0,00:03:24
275496000,305912000,0.5012009558527993,2024-10-09 00:40:00,2024-10-09 00:45:48,348.0,00:05:48
219018684,219025528,0.506833995274422,2024-10-09 04:53:36,2024-10-09 04:56:36,180.0,00:03:00
219000771,219027893,0.5416213446326168,2024-10-09 16:59:24,2024-10-09 17:03:24,240.0,00:04:00
219000166,220252000,0.5497594689082554,2024-10-09 08:12:24,2024-10-09 08:15:36,192.0,00:03:12
219370000,636016284,0.555186200928555,2024-10-09 03:31:36,2024-10-09 03:37:48,372.0,00:06:12
218779000,219024176,0.5567273249761842,2024-10-09 13:35:48,2024-10-09 13:40:48,300.0,00:05:00
209392000,219001275,0.5795349312540521,2024-10-09 05:52:48,2024-10-09 05:56:00,192.0,00:03:12
304717000,563228400,0.5831145465231786,2024-10-09 16:59:24,2024-10-09 17:02:24,180.0,00:03:00
219000128,244207000,0.59785522018364,2024-10-09 12:17:24,2024-10-09 12:21:00,216.0,00:03:36
219001266,219002684,0.5996870395759327,2024-10-09 10:07:48,2024-10-09 10:12:00,252.0,00:04:12
257545000,305779000,0.6078897148577201,2024-10-09 09:54:12,2024-10-09 10:04:12,600.0,00:10:00
211364330,211413470,0.6092152888495571,2024-10-09 07:02:48,2024-10-09 07:06:12,204.0,00:03:24
219071000,219370000,0.6122880174715554,2024-10-09 04:17:12,2024-10-09 04:20:24,192.0,00:03:12
219000166,257164800,0.6459117001300475,2024-10-09 07:46:24,2024-10-09 07:49:24,180.0,00:03:00
246293000,257870000,0.6522741608740558,2024-10-09 15:03:36,2024-10-09 15:06:48,192.0,00:03:12
219001619,219025528,0.6830715842677362,2024-10-09 15:35:00,2024-10-09 15:40:36,336.0,00:05:36
219001619,219020533,0.68901933605375,2024-10-09 15:34:48,2024-10-09 15:39:48,300.0,00:05:00
219018684,219025528,0.7006726351546475,2024-10-09 15:35:00,2024-10-09 15:40:12,312.0,00:05:12
219018684,219020533,0.7035927704302937,2024-10-09 15:34:48,2024-10-09 15:39:48,300.0,00:05:00
229860000,305662000,0.709148482213796,2024-10-09 23:11:00,2024-10-09 23:15:24,264.0,00:04:24
304717000,356150000,0.7137637281319358,2024-10-09 12:35:12,2024-10-09 12:38:12,180.0,00:03:00
219164000,257277000,0.7156989807723118,2024-10-09 20:35:48,2024-10-09 20:39:48,240.0,00:04:00
219018682,257979790,0.7298284429473219,2024-10-09 09:10:36,2024-10-09 09:14:24,228.0,00:03:48
219003249,219031203,0.7492629518930685,2024-10-09 15:22:24,2024-10-09 15:25:36,192.0,00:03:12
244528000,244585000,0.7505572956314994,2024-10-09 08:34:48,2024-10-09 08:38:12,204.0,00:03:24
209415000,314839000,0.7593675077385286,2024-10-09 11:35:24,2024-10-09 11:38:24,180.0,00:03:00
219015425,219159000,0.7614899596854605,2024-10-09 20:25:24,2024-10-09 20:28:48,204.0,00:03:24
244207000,245108000,0.779575551689703,2024-10-09 12:05:12,2024-10-09 12:10:36,324.0,00:05:24
255809000,354537000,0.7858529811179287,2024-10-09 05:43:12,2024-10-09 05:47:24,252.0,00:04:12
219000245,354540000,0.8183153086346514,2024-10-09 01:24:24,2024-10-09 01:28:00,216.0,00:03:36
219000125,219000126,0.8246965682279286,2024-10-09 07:56:36,2024-10-09 07:59:36,180.0,00:03:00
219032932,538009399,0.8492620532088044,2024-10-09 01:29:12,2024-10-09 01:35:24,372.0,00:06:12
219029579,352001876,0.8712128921483272,2024-10-09 12:19:00,2024-10-09 12:22:12,192.0,00:03:12
255806355,304717000,0.9325482607359464,2024-10-09 15:08:48,2024-10-09 15:11:48,180.0,00:03:00
